Courage is knowing what not to fear., Plato 
"Your mission: Be so busy loving your life that you have no time for hate, regret or fear.", Karen Salmansohn 
Do not be afraid; our fate cannot be taken from us; it is a gift., Dante Alighieri 
Doubt kills more dreams than failure ever will., Suzy Kassem 
Do one thing every day that scares you., Eleanor Roosevelt 
"Without darkness nothing comes to birth, as without light nothing flowers.", May Sarton 
Find out what you’re afraid of and go live there., Chuck Palahniuk 
Ultimately we know deeply that the other side of every fear is a freedom., Marilyn Ferguson 
Only when we are no longer afraid do we begin to live., Dorothy Thompson 
He who has overcome his fears will truly be free., Aristotle 
"Your mind is small, but your heart is big. Your mind is afraid but your heart is full of love.", Maxime Lagacé
"What the mind doesn’t understand, it worships or fears.", Alice Walker
Fear doesn’t exist anywhere except in the mind., Dale Carnegie
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more so that we may fear less.", Marie Curie
"If you want to cure the world, don’t emanate fear, emanate love.", Ram Dass
The whole secret of existence is to have no fear., Swami Vivekananda
Fools reject reality and expect things to be different. The wise accept reality and expect the unexpected., Maxime Lagacé
"Fear, hatred, and suspicion narrow your mind – compassion opens it.", Dalai Lama
Cease to hope and you will cease to fear., Hecato
A man who fears suffering is already suffering from what he fears., Michel de Montaigne
I was never afraid of failure; for I would sooner fail than not be among the greatest., John Keats
Fear is temporary. Regret is forever., Unknown
Being scared is part of being alive. Accept it. Walk through it., Robin Sharma
"They lose the day in expectation of the night, and the night in fear of the dawn.", Seneca
The fears we don’t face becomes our limits., Robin Sharma 
We suffer more in imagination than in reality., Seneca
Everything you want is on the other side of fear., Jack Canfield
"Fear has a large shadow, but he himself is small.", Ruth Gendler
To live is the rarest thing in the world. Most people just exist., Oscar Wilde
"Your fears are a kind of prison that confines you within a limited range of action. The less you fear, the more power you will have and the more fully you will live.", Robert Greene
"Observe yourself. See how you push away unpleasant thoughts, delay important decisions, postpone difficult conversations and avoid hard tasks. Observe how you avoid discomfort and take refuge in comforting distractions. Self observation is the beginning of self transformation.", @TheAncientSage
"Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.", Marcus Aurelius
"There can be no initiative if one has fear, and fear compels us to cling to tradition, gurus, etc.", Bruce Lee
"Our greatest fear should not be of failure, but of succeeding at something that doesn’t really matter. D. L.", Moody
"For life to be really fun, what you fear should line up with what you desire.", Nassim Nicholas Taleb
What you are afraid to do is a clear indication of the next thing you need to do., Ralph Waldo Emerson
"Courage is not the absence of fear, but rather the judgment that something else is more important than fear.", Ambrose Redmoon
In skating over thin ice our safety is in our speed., Ralph Waldo Emerson
Do not fear mistakes. You will know failure. Continue to reach out., Benjamin Franklin
Fear is a natural reaction to moving closer to the truth., Pema Chödrön 
Fear is pain arising from the anticipation of evil., Aristotle
FEAR: False Evidence Appearing Real.,
"Fear itself is a creation of your mind. It does not exist independently. Since it is a fabrication, you don’t have to fight it. Just understand it. Understanding is the key to freedom.", @TheAncientSage
Fear is the enemy of logic., Frank Sinatra
Fear is a friend of exceptional people., Cus D’Amato 
Don’t be afraid to give up the good to go for the great. John D., Rockefeller 
"I love the name of honor, more than I fear death.", Julius Caesar
"If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.", Albert Einstein
Instead of harboring fear and suspicion we need to think of other people not as ‘them’ but ‘us’., Dalai Lama
Never let the fear of striking out keep you from playing the game., Babe Ruth
He who indulges in empty fears earns himself real fears., Seneca
Now’s not the time for fear. That comes later., Bane (Batman)
"Courage is resistance to fear, mastery of fear, not absence of fear.", Mark Twain
"I fear not the man who has practiced 10,000 kicks once, but I fear the man who has practiced one kick 10,000 times.", Bruce Lee
The only thing we have to fear is fear itself. Franklin D., Roosevelt
"Limits, like fear, is often an illusion.", Michael Jordan
Thinking will not overcome fear but action will. W., Clement Stone 
Extreme fear can neither fight nor fly., William Shakespeare
"Beware; for I am fearless, and therefore powerful.", Mary Shelley (Frankenstein)
Courage is the power of the mind to overcome fear., Martin Luther King Jr
"I have learned over the years that when one’s mind is made up, this diminishes fear; knowing what must be done does away with fear.", Rosa Parks
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.", Nelson Mandela
Do that which you fear to do and the fear will die., Ralph Waldo Emerson
He who is not everyday conquering some fear has not learned the secret of life., Ralph Waldo Emerson
"The scariest moment is always just before you start. After that, things can only get better.", Stephen King
Let us never negotiate out of fear. But let us never fear to negotiate. John F., Kennedy
Fear not the path of Truth for the lack of people walking on it. Robert F., Kennedy
"I steer my bark with hope in the head, leaving fear astern. My hopes indeed sometimes fail, but not oftener than the forebodings of the gloomy.", Thomas Jefferson
"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.", Eleanor Roosevelt
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You must do the thing which you think you cannot do.", Eleanor Roosevelt
You can’t make decisions based on fear and the possibility of what might happen., Michelle Obama
I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion., Alexander the Great
"It is weakness which breeds fear, and fear breeds distrust.", Mahatma Gandhi
I will tell you the secret to getting rich on Wall Street. You try to be greedy when others are fearful. And you try to be fearful when others are greedy., Warren Buffett
"Keep your fears to yourself, but share your inspiration with others.", Robert Louis Stevenson
"I’m not afraid of storms, for I’m learning how to sail my ship.", Louisa May Alcott
Have no fear of perfection – you’ll never reach it., Salvador Dali
Become so wrapped up in something that you forget to be afraid., Lady Bird Johnson 
Move towards what scares you., Tom Bilyeu
Fear is serious. Love is playful., Maxime Lagacé
Being scared is fine. Not taking action is not., Maxime Lagacé
There is no illusion greater than fear., Lao Tzu
Some things are in our control and others not., Epictetus
Hope and fear are the same., The Daily Stoic
A fighter has to know fear., Cus D’Amato
Fear is stupid. So are regrets., Marilyn Monroe
Don’t fear failure. Fear the absence of progress., Unknown
