This is a wonderful day. I’ve never seen this one before., Maya Angelou
Nobody can be uncheered with a balloon. Winnie the Pooh (A.A., Milne)
Happy is the one with clarity., Maxime Lagacé
"Happy people: don’t show off, don’t need validation, learn every day, help people, are affectionate, laugh a lot, ignore bullshit, live longer.", James Altucher
Just become totally content and happy from within. Then you will get all that you want., Sri Sri Ravi Shankar
Walk like you’re always listening to your favorite song., Thibaut
Give yourself a gift: the present moment., Marcus Aurelius
"Stop a moment, cease your work, look around you.", Leo Tolstoy
"Judge nothing, you will be happy. Forgive everything, you will be happier. Love everything, you will be happiest.", Sri Chinmoy
.,"A table, a chair, a bowl of fruit and a violin; what else does a man need to be happy? Albert Einstein"
"Just as a confident man doesn’t wonder if he’s confident, a happy man does not wonder if he’s happy. He simply is.", Mark Manson
"If you smile when no one else is around, you really mean it.", Andy Rooney
"Happiness is a state of mind, that has nothing to do with the external world.", Bhagavad Gita
"Happiness lies not in finding what is missing, but in finding what is present.", Tara Brach
Think of all the beauty still left around you and be happy., Anne Frank
Happy is the man who can make others better., Seneca
The happiest people want the lowest profile., Shane Parrish
Why should I be unhappy? Every parcel of my being is in full bloom., Rumi
There is no greater ecstasy than to know who you are., Osho
"If you can’t be happy washing dishes, you can’t be happy.", Nora Ephron
Peace is happiness at rest; happiness is peace in motion., Naval Ravikant
"Happiness is like a butterfly, the more you chase it, the more it will evade you, but if you notice the other things around you, it will gently come and sit on your shoulder.", Henry David Thoreau
Contemplate more. Have more fun. Cry and laugh more often. Become a neo hippie. Create your own fashion. Meditate more. You don’t need to be busy all the time to justify your existence., Paulo Coelho
"I woke up, stretched my body, and had some coffee. Life is good.", @LifeMathMoney
"Don’t seek, don’t avoid, don’t expect. Take what comes and be happy.", Maxime Lagacé
A happy life consists in the tranquility of mind., Marcus Tullius Cicero
"Breathing in, breathing out, I am blooming as a flower, I am fresh as the dew. I am solid as a mountain, I am firm as the earth, I am free.", Thich Nhat Hanh
Whether this moment is happy or not depends on you. It’s you that makes the moment happy. It’s not the moment that makes you happy., Thich Nhat Hanh
You are what you want to become. Why search anymore? You are a wonderful manifestation. The whole universe has come together to make your existence possible., Thich Nhat Hanh
If only we’d stop trying to be happy we’d have a pretty good time., Edith Wharton
Happiness is the absence of desire. It’s what you feel when you no longer want to change your state., James Clear
"Shut out what everyone else thinks, have the courage to follow your own bliss, and you will be immensely happy.", Rhonda Byrne
The world was already everything I could ever have wanted. Nothing was required of me but to notice., Byron Katie
"To be happy you have to be doing something you not only enjoy, but admire.", Paul Graham
"Live in the sunshine, swim the sea, drink the wild air.", Ralph Waldo Emerson
"Blessed is he that expects nothing, for he shall never be disappointed.", Benjamin Franklin
"Love, and do what you like.", Augustine of Hippo
.,How little it takes to make us happy! Friedrich Nietzsche (Twilight of the Idols)
"Rules for happiness: something to do, someone to love, something to hope for.", Immanuel Kant
He who enjoys doing and enjoys what he has done is happy., Johann Wolfgang von Goethe
A man is really alive only when he delights in the good will of others., Johann Wolfgang von Goethe
When we decide to be happy we accept the responsibility to bring happiness to someone else., Maya Angelou
Be here now. Be in the moment. The now is the greatest moment of our lives and it just keeps getting better. The bad parts the boring parts the parts with high anxiety. Embrace every moment for its greatness. This is life. This is the greatest movie we will ever see., Kanye West
"When we have learned how to listen to trees, then the brevity and the quickness and the childlike hastiness of our thoughts achieve an incomparable joy.", Hermann Hesse
"It is surprising how contented one can be with nothing definite, only a sense of existence.", Henry David Thoreau
"Happiness is a gift and the trick is not to expect it, but to delight in it when it comes.", Charles Dickens
"Happy. Just in my swim shorts, barefooted, wild-haired, in the red fire dark, singing, swigging wine, spitting, jumping, running — that’s the way to live. All alone and free in the soft sands of the beach by the sigh of the sea out there.", Jack Kerouac (The Dharma Bums)
"Even more important than the warmth and affection we receive, is the warmth and affection we give. It is by giving warmth and affection, by having a genuine sense of concern for others, in other words through compassion, that we gain the conditions for genuine happiness.", 14th Dalai Lama
We should treat each other as brothers and sisters because we all want to live a happy life. This is our common purpose and our right., 14th Dalai Lama
"The purpose of life is to be happy. This is what all human beings have in common — the wish to lead a happy life. Many think that happiness is to be found outside us in material things, but actually it’s something that comes from within, from warm-heartedness and concern for others.", 14th Dalai Lama
Learn to enjoy every minute of your life. Be happy now. Don’t wait for something outside of yourself to make you happy in the future., Earl Nightingale
"If anything is a gift of the gods to men, it is reasonable that happiness should be such a gift.", Aristotle
"If our condition were truly happy, we would not seek diversion from it in order to make ourselves happy.", Blaise Pascal
It has been my observation that people are just about as happy as they make up their minds to be., Abraham Lincoln
The surest way to be happy is to seek happiness for others., Eleanor Roosevelt
Paradise is a garden., Naval Ravikant
Time is a gift. Cherish it., Bill Masur
Happiness is my birthright., Gabby Bernstein
Blessings are already there., Sri Sri Ravi Shankar
Slow down and savor your life., Haemin Sunim
It’s such a blessing to be living., Joe De Sana
Peaceful is the one who expects nothing., Maxime Lagacé
Joy is never tomorrow; it is always now., Sri Sri Ravi Shankar
A happy person carries his temple around him., Osho
It’s such a good feeling to know you’re alive., Fred Rogers
"Be happy now, tomorrow will take care of itself.", Sri Sri Ravi Shankar
"You are joy, wisdom, peace, compassion, and love.", Ram Dass
Life does not have to be perfect to be wonderful., Annette Funicello
Freedom isn’t a destination; it’s a state of mind., Byron Katie
Every day should begin with a good look at the sky., Thibaut
"You never heard about most of the happiest people, and never will.", @orangebook_
"What sunshine is to flowers, smiles are to humanity.", Joseph Addison
"Oh, this happiness is strong stuff. It’s marvellously liberating. J.D.", Salinger
"It’s a helluva start, being able to recognize what makes you happy.", Lucille Ball
"Find what makes you happy and go for it with all your heart. It will be hard, but I promise it will be worth it.", Charlotte Eriksson
"The secret to happiness is appreciating what you do now. If you drink a cup of tea, appreciate the tea. Happiness isn’t far away.", Haemin Sunim
"Be kind. Read more books. Spend time with your family. Crack jokes. Go to the beach. Hug your dog. Tell that special person you love them. These are the things these kids wished they could’ve done more. The rest is details. Oh… and eat ice cream. Alastair McAlpine (What gave meaning to kids in terminal care, twitter.",com thread)
"Get creative, give back and make someone smile.", Peter John Dario
"I’m not very good at it, but it doesn’t matter. It feels good to have made something.", Fred Rogers
It does not matter if you are a rose or a lotus or a marigold. What matters is that you are flowering., Osho
"Waking up this morning, I smile. Twenty-four brand new hours before me. I vow to look at all beings with the eyes of compassion and love.", Thich Nhat Hanh
The truly rich don’t flaunt their wealth. The truly strong don’t bully the weak. The truly smart don’t complexify things. The truly talented are calm and relaxed. The truly happy live a quiet life., @orangebook_
"Raise your ambitions. Lower your expectations. The higher your ambitions, the bolder your actions. The lower your expectations, the greater your satisfaction. Change the world and be happy along the way.", James Clear
It is only when there is no goal and no rush that the human senses are fully open to receive the world., Alan Watts
You already are what you want to become. You are a marvel. You are a wonder., Thich Nhat Hanh
Every day we are engaged in a miracle that we don’t even recognize., Thich Nhat Hanh
.,"By the way, I’ve become an exclamation point person! Steve Martin"
I must learn to be content with being happier than I deserve., Jane Austen
"As you proceed through life, following your own path, birds will shit on you. Don’t bother to brush it off. Getting a comedic view of your situation gives you spiritual distance. Having a sense of humor saves you.", Joseph Campbell (Reflections on the Art of Living)
"Show me someone sick and happy, in danger and happy, dying and happy, exiled and happy, disgraced and happy. Show me! By God, how much I’d like to see a Stoic.", Epictetus (See also: stoic quotes)
The advantage of a bad memory is that one can enjoy the same good things for the first time several times., Friedrich Nietzsche
"They say money won’t make you happy, but everyone wants to find out for themselves.", Zig Ziglar
"He who least needs tomorrow, will most gladly greet tomorrow.", Epicurus
Happy people produce. Bored people consume., Stephen Richards
We get such a kick out of looking forward to pleasures and rushing ahead to meet them that we can’t slow down enough to enjoy them when they come., Alan Watts
"Children are happy because: 1) They’re not self-conscious 2) They lack a sense of time pressure 3) They’ve no goals. The bottom line is they are living from moment to moment, and the mind is not there to interfere in their bliss.", Naval Ravikant
The moderation of those who are happy arises from the calm which good fortune bestows upon their temper., François de La Rochefoucauld
We are more interested in making others believe we are happy than in trying to be happy ourselves., François de La Rochefoucauld
"The “happiest people?” You don’t hear about them. They live a quiet and private life, far away from any competition, or the madness of overstimulation. They wake up with a smile, with a loving family, doing what they love, slowly.", @orangebook_
A happy person isn’t someone who’s happy all the time. It’s someone who effortlessly interprets events in such a way that they don’t lose their innate peace., Naval Ravikant
You’re never going to be happy if you keep lying to yourself., Naval Ravikant
"It does matter why one is happy, for the happiness that comes from faithful hope is incomparable to that which comes from temporal vanity.", Augustine of Hippo
"I tell you, deep inside you is a fountain of bliss, a fountain of joy. Deep inside your centre core is truth, light, love, there is no guilt there, there is no fear there.", Sri Sri Ravi Shankar
Few things are needed to make a wise man happy; nothing can make a fool content; that is why most men are miserable., François de La Rochefoucauld
What you read doesn’t matter if you don’t think. What you think doesn’t matter if you don’t do. What you do doesn’t matter if you aren’t happy., @orangebook_ (See also: thinking quotes)
I enjoy my life thus far because I don’t spend too much time measuring how long all this will remain., Seneca
"I have met people who seem to be happy with very little, and I’ve met people who seem very unhappy with an awful lot.", Ram Dass
"If you want peace, accept. If you want suffering, expect.", Maxime Lagacé
"The less you feel entitled to, the happier you will be.", Sahil Lavingia
"The secret to living well and longer is: eat half, walk double, laugh triple, and love without measure.", Tibetan proverb
"Do what you enjoy, and if you can’t, enjoy what you do.", Naval Ravikant
Someone who’s peaceful at rest will end up happy when they do an activity., Naval Ravikant
"The happiest people in the world are people who love what they are doing, regardless of whether wealth, fame, power and elevated social status ever come their way.", Thibaut
"Be happy for no reason, like a child. If you are happy for a reason, you’re in trouble, because that reason can be taken from you.", Thibaut
"It is important to expect nothing, to take every experience, including the negative ones, as merely steps on the path, and to proceed.", Ram Dass
Our idea of happiness can prevent us from actually being happy. We fail to see the opportunity for joy that is right in front of us when we are caught in a belief that happiness should take a particular form., Thich Nhat Hanh
There’s only one thing that’s better than getting what you want: it’s to know that you can be happy whether you get it or not., Adyashanti (See also: strength quotes)
You don’t need a reason to be happy. You just need healthier habits., @orangebook_
The wise need no fame. The smart need no credential. The happy need no validation., @orangebook_
"One of the highest pleasures is to be more or less unconscious of one’s own existence, to be absorbed in sights, sounds, places, and people.", Alan Watts
"Ten thousand flowers in spring, the moon in autumn, a cool breeze in summer, snow in winter. If your mind isn’t clouded by unnecessary things, this is the best season of your life.", Wumen Huikai
"A happy person is not a person in a certain set of circumstances, but rather a person with a certain set of attitudes.", Hugh Downs
The sad seek comfort. The happy seek meaning. The wise enjoy the moment., Maxime Lagacé
Gratitude for the present moment and the fullness of life now is true prosperity., Eckhart Tolle
Aim for something higher than yourself. Plants grow toward the sun. Humans grow toward their goals., Maxime Lagacé
"Whatever you do, do it slowly and intentionally. You will enjoy it more and become happier.", Haemin Sunim
"Freedom is when life becomes a play, cravings and aversions dissolve and belongingness flowers.", Sri Sri Ravi Shankar
"The secret of happiness: keep expectations low. Even better, have no expectations. If you accept life as it is and don’t expect it to conform to your ideas, you often find reasons to be happy. More importantly, you find that there is no reason to be unhappy in the first place.", @TheAncientSage
Our thinking minds deprive us of the happiness that comes when we are living fully in the moment., Ram Dass
We are like fish out of water; Just as fish cannot be happy unless he is in water; We cannot be happy apart from the spiritual world., Bhagavad Gita
"Live totally, and live intensely, so that each moment becomes golden and your whole life becomes a series of golden moments.", Osho
"If you clean the floor with love, you have done an invisible painting. Live each moment in such delight that it gives you something inner.", Osho
